date,category,buy_value,sell_value,net_value
2008-04-02,DII,1644.83,913.0,731.83
2008-04-02,FII/FPI,3341.15,3177.41,163.74
2008-04-03,DII,1145.71,975.48,170.23
2008-04-03,FII/FPI,3553.38,4065.71,-512.33
2008-04-04,DII,1375.67,795.83,579.84
2008-04-04,FII/FPI,2827.05,3675.62,-848.57
2008-04-06,DII,1221.85,802.04,419.81
2008-04-06,FII/FPI,3035.54,4234.34,-1198.8
2008-04-07,DII,685.58,782.6,-97.02
2008-04-07,FII/FPI,2913.7,2541.35,372.35
2008-04-08,DII,826.93,873.9,-46.97
2008-04-08,FII/FPI,1808.44,2316.25,-507.81
2008-04-09,DII,1043.16,612.05,431.11
2008-04-09,FII/FPI,2604.19,3207.47,-603.28
2008-04-11,DII,784.89,959.09,-174.2
2008-04-11,FII/FPI,1954.28,1969.89,-15.61
2008-04-12,DII,684.63,605.39,79.24
2008-04-12,FII/FPI,1707.29,1400.15,307.14
2008-04-15,DII,738.61,725.34,13.27
2008-04-15,FII/FPI,3525.96,3582.48,-56.52
2008-04-16,DII,917.28,1007.36,-90.08
2008-04-16,FII/FPI,2936.94,2986.83,-49.89
2008-04-17,DII,1050.23,1110.1,-59.87
2008-04-17,FII/FPI,4044.04,3446.51,597.53
2008-04-21,DII,947.7,836.12,111.58
2008-04-21,FII/FPI,2855.94,2686.28,169.66
2008-04-22,DII,1048.15,1167.69,-119.54
2008-04-22,FII/FPI,2687.64,2394.68,292.96
2008-04-23,DII,1094.35,1024.31,70.04
2008-04-23,FII/FPI,2736.2,3217.13,-480.93
2008-04-24,DII,1358.92,916.04,442.88
2008-04-24,FII/FPI,3625.42,4384.58,-759.16
2008-04-25,DII,898.11,973.58,-75.47
